ambiguity,the ​fact of something having more than one ​possible ​meaning and ​therefore ​possibly ​causing ​confusion,/æmbɪˈgjuːəti/
ambiguous,"not clear; able to be explained in different ways",/æmˈbɪgjuəs/
dated,no longer modern or fashionable (SYN old-fashioned),/ˈdeɪtɪd/
derogatory,FML expressing disapproval or criticism (SYN pejorative),/dəˈrɒgətri/
disapproving,showing that sth is bad or wrong,/dɪsəˈpruːvɪŋ/
exact,clear and accurate (SYN precise),/ɪgˈzækt/
figurative,(of words) not used with their literal meaning,/ˈfɪgərətɪv/
figuratively,in a way that uses words and ​phrases with a more ​imaginative ​meaning than ​usual,/ˈfɪgərətɪvli/
in current use,widely used in modern language,/ˌɪn ˌkʌrənt ˈjuːs/
insult sb,offend sb,/ɪnˈsʌlt/
insulting,rude or offensive,/ɪnˈsʌltɪŋ/
interchangeable,one thing can be used instead of the other and the effect will be the same,/ɪntəˈtʃeɪndʒəbl/
interpret sth,decide that sth has a particular meaning,/ɪnˈtɜːprɪt/
interpretation,an ​explanation or ​opinion of what something ​means,/ɪntɜːprɪˈteɪʃn/
ironic,showing that you really ​mean the ​opposite of what you are saying,/aɪˈrɒnɪk/
irony,"the use of words to say the opposite of what you mean, often humorously",/aɪˈrɒnɪk/
literal,"original, basic meaning of words",/ˈlɪtərəl/
literary,used of the kind of language you find in stories and poems,/ˈlɪtərəri/
make fun of sb,make jokes about sb in an unkind way (SYN poke fun at sb),/ˌmeɪk ˈfʌn əv/
mock,"make fun of sb, often by copying what they say or do",/mɒk/
old-fashioned,no longer modern or fashionable (SYN dated),/ˌəʊld ˈfæʃnd/
opaque,difficult to understand,/!əʊˈpeɪk/
pejorative,PML expressing disapproal or criticism (SYN derogatory),/pəˈdʒɒrətɪv/
poke fun at sb,make jokes about sb in an unkind way (SYN make fun of sb),/ˌpəʊk ˈfʌn ət/
precise,clear and accurate (SYN exact),/prɪˈsaɪs/
precision,the quality of being exact,/prɪˈsɪʒn/
sarcasm,the use of words to say the opposite of what you mean in order to be unpleasant to sb or make fun of sb,/ˈsɑːkæzəm/
sarcastic,using sarcasb,/sɑːˈkæstɪk/
self-explanatory,easy to understand and not needing more explanaiton,/ˌself ɪkˈsplænətri/
sense,the meaning of a word or phrase,/sens/
slang,very informal words which are not suitable in formal situations,/slæŋ/
soul,the ​spiritual ​part of a ​person that some ​people ​believe ​continues to ​exist in some ​form after ​their ​body has ​died,/səʊl/
spirit,"the ​characteristics of a ​person that are ​considered as being ​separate from the ​body, and that many ​religions ​believe ​continue to ​exist after the ​body ​dies",/ˈspɪrɪt/
stage,particular point in a process,/steɪdʒ/
synonym,"a word or phrase that has the same or ​nearly the same ​meaning as another word or phrase in the same ​language",/ˈsɪnənɪm/
synonymous,"having the same, or nearly the same, meaning",/sɪˈnɒnɪməs/
transparent,easy to understand,/trænsˈpærənt/
virtually,"almost; very nearly",/ˈvɜːtʃuəli/
wrapping paper,paper for wrapping presents and stuff,/ˈræpɪŋ ˌpeɪpə ͬ/
